 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-08 20:09 (UTC),Terr-AIS,138,,-37.62528,59.73119,,,69
2018-02-08 20:11 (UTC),Terr-AIS,134,,-37.3689,59.76923,,,76
2018-02-08 20:14 (UTC),Terr-AIS,136,,-37.13615,59.80513,,,69
2018-02-08 20:16 (UTC),Terr-AIS,122,,-36.83072,59.85533,,,71
2018-02-08 20:18 (UTC),Terr-AIS,113,,-36.67149,59.8926,,,44
2018-02-08 20:23 (UTC),Terr-AIS,137,,-36.54923,59.95492,,,34
2018-02-08 20:25 (UTC),Terr-AIS,118,,-36.44415,60.03248,,,38
2018-02-08 20:28 (UTC),Terr-AIS,126,,-36.35164,60.10851,,,29
2018-02-08 20:30 (UTC),Terr-AIS,118,,-36.25316,60.18303,,,17
2018-02-08 20:33 (UTC),Terr-AIS,142,,-36.23949,60.19184,,,37
2018-02-08 20:35 (UTC),Terr-AIS,121,,-36.15142,60.24898,,,30
2018-02-08 20:38 (UTC),Terr-AIS,108,,-36.12853,60.26337,,,30
2018-02-08 20:40 (UTC),Terr-AIS,125,,-36.02576,60.32621,,,34
2018-02-08 20:42 (UTC),Terr-AIS,112,,-35.91244,60.409,,,43
2018-02-08 20:44 (UTC),Terr-AIS,134,,-35.81895,60.48076,,,38
2018-02-08 20:47 (UTC),Terr-AIS,124,,-35.71601,60.56516,,,25
2018-02-08 20:50 (UTC),Terr-AIS,137,,-35.61762,60.64251,,,35
2018-02-08 20:52 (UTC),Terr-AIS,118,,-35.51085,60.72054,,,30
2018-02-08 20:55 (UTC),Terr-AIS,128,,-35.4548,60.76089,,,39
2018-02-08 20:58 (UTC),Terr-AIS,132,,-35.2501,60.91329,,,30
2018-02-08 21:00 (UTC),Terr-AIS,126,,-34.88225,61.2058,,,24
2018-02-08 21:02 (UTC),Terr-AIS,81,,-35.21641,61.35977,,,312
2018-02-08 21:06 (UTC),Terr-AIS,77,,-35.7126,61.47021,,,289
2018-02-08 21:08 (UTC),Terr-AIS,71,,-35.80379,61.49144,,,300
2018-02-08 21:10 (UTC),Terr-AIS,70,,-35.88806,61.53161,,,308
2018-02-08 21:14 (UTC),Terr-AIS,78,,-36.23749,61.43343,,,231
2018-02-08 21:16 (UTC),Terr-AIS,90,,-36.4361,61.35293,,,226
2018-02-08 21:18 (UTC),Terr-AIS,64,,-36.82306,61.17022,,,223
2018-02-08 21:22 (UTC),Terr-AIS,46,,-37.04156,61.13332,,,304
2018-02-08 21:24 (UTC),Terr-AIS,108,,-37.66239,61.17219,,,200
2018-02-08 21:26 (UTC),Terr-AIS,99,,-37.80986,60.95239,,,195
2018-02-08 21:29 (UTC),Terr-AIS,112,,-37.83654,60.89104,,,196
2018-02-08 21:33 (UTC),Terr-AIS,118,,-37.86951,60.81588,,,188
2018-02-08 21:35 (UTC),Terr-AIS,97,,-37.89885,60.74075,,,189
2018-02-08 21:37 (UTC),Terr-AIS,96,,-37.92634,60.66963,,,193
2018-02-08 21:41 (UTC),Terr-AIS,99,,-37.94118,60.5992,,,183
2018-02-08 21:43 (UTC),Terr-AIS,92,,-37.9441,60.54027,,,181
2018-02-08 21:45 (UTC),Terr-AIS,95,,-37.94896,60.49273,,,187
2018-02-08 21:47 (UTC),Terr-AIS,94,,-37.94961,60.48826,,,186
2018-02-08 21:51 (UTC),Terr-AIS,105,,-37.94447,60.38771,,,185
2018-02-08 21:53 (UTC),Terr-AIS,98,,-37.94334,60.32403,,,182
2018-02-08 21:55 (UTC),Terr-AIS,89,,-37.94375,60.30131,,,178
2018-02-08 21:57 (UTC),Terr-AIS,92,,-37.94132,60.23617,,,172
2018-02-08 22:00 (UTC),Terr-AIS,99,,-37.90918,60.04047,,,161
2018-02-08 22:02 (UTC),Terr-AIS,93,,-37.76043,59.75191,,,172
2018-02-08 22:04 (UTC),Terr-AIS,87,,-37.69156,59.67488,,,158
